index,Mountain,Metres,Feet,Range,Location and notes
128,South Twin Peak,3566.0,11699.0,,Canadian Rockies
129,Olan,3564.0,11693.0,,"Ecrins, France"
130,Aiguille de Péclet,3561.0,11683.0,,"Vanoise massif, France"
131,Presanella,3558.0,11673.0,,"Adamello-Presanella, Italy"
132,Mount Steere,3558.0,11673.0,,Antarctica
133,Monarch Mountain,3555.0,11663.0,,"Pacific Ranges, British Columbia, Canada"
134,Monte Leone,3552.0,11654.0,,"Lepontine Alps, Switzerland"
135,Mount Artos,3550.0,11650.0,,Turkey
136,Mont Turia,3550.0,11650.0,,"Vanoise massif, France"
137,Mount Temple,3543.0,11624.0,,Canadian Rockies
138,Disappointment Peak,3541.0,11617.0,,"Teton Range, Wyoming"
139,Mount Adamello,3539.0,11611.0,,"Adamello-Presanella, Italy"
140,Mount Woodring,3533.0,11591.0,,"Teton Range, Wyoming"
141,Aiguille de Polset,3531.0,11585.0,,"Vanoise Massif, France"
142,Mount Medetsiz,3524.0,11562.0,,"Taurus Mountains, Turkey"
143,Snow Dome,3520.0,11550.0,,Canadian Rockies
144,Aiguilles d'Arves,3515.0,11532.0,,"Arve Massif, France"
145,Mount Tendürek,3514.0,11529.0,,Turkey
146,Mount Ellen (Utah),3513.0,11526.0,,"Henry Mountains, Utah, US – Last surveyed mountain range in US lower 48 states"
147,Mont de Gébroulaz,3511.0,11519.0,,"Vanoise massif, France"
148,Mount San Gorgonio,3505.0,11499.0,,"California, US"
149,Mount Kitchener,3505.0,11499.0,,Canadian Rockies
150,Zuckerhütl,3505.0,11499.0,,"Stubai Alps, Austria"
151,Mount Wister,3502.0,11490.0,,"Teton Range, Wyoming"
152,Mount Saskatchewan,3500.0,11500.0,,"Yukon, Canada"
153,Mount Tasman,3497.0,11473.0,,"Southern Alps, New Zealand"
154,Mount Hungabee,3492.0,11457.0,,Canadian Rockies
155,Mount Athabasca,3491.0,11453.0,,Canadian Rockies
156,Tronador,3491.0,11453.0,,Chile/Argentina
157,Mount Saint John,3484.0,11430.0,,"Teton Range, Wyoming"
158,Thabana Ntlenyana,3482.0,11424.0,,"Drakensberg, Africa"
159,Pointes du Châtelard,3479.0,11414.0,,"Vanoise massif, France"
160,Mulhacén,3479.0,11414.0,,Spain – Highest in continental Spain
161,Mount Berlin,3478.0,11411.0,,"Flood Range, Antarctica"
162,Mount Pennell,3478.0,11411.0,,"Henry Mountains, Utah, US."
163,Volcán Barú,3475.0,11401.0,,"Chiriquí, Panama"
164,Roc des Saints Pères,3470.0,11380.0,,"Vanoise massif, France"
165,Mount Brazeau,3470.0,11380.0,,Canadian Rockies
166,Mount Nyiragongo,3470.0,11380.0,,"Virunga Mountains, DRC"
167,Ruby Dome,3470.0,11380.0,,"Ruby Mountains, Nevada"
168,Roche de la Muzelle,3465.0,11368.0,,"Dauphine Alps, France"
169,Mount Victoria,3464.0,11365.0,,Canadian Rockies
170,Abajo Peak,3463.0,11362.0,,"Abajo Mountains, Utah"
171,Eagle Peak,3462.0,11358.0,,"Absaroka Range, Wyoming, United States"
172,Doane Peak,3461.0,11355.0,,"Teton Range, Wyoming, US"
173,Ranger Peak,3461.0,11355.0,,"Teton range, Wyoming, US"
174,Mount Takahe,3460.0,11350.0,,Antarctica
175,Cerro de la Muerte,3451.0,11322.0,,Second highest in Costa Rica
176,Furgghorn,3451.0,11322.0,,"Pennine Alps, Switzerland"
177,Mafadi,3450.0,11320.0,,"Drakensberg, South Africa"
178,Mount Andromeda,3450.0,11320.0,,Canadian Rockies
179,Boulder Mountain,3449.0,11316.0,,"Utah, US. Highest timbered plateau in N America"
180,Mount Joffre,3449.0,11316.0,,Canadian Rockies
181,Hilgard Peak,3449.0,11316.0,,"Madison Range, Montana, US"
182,Static Peak,3445.0,11302.0,,"Teton Range, Wyoming, US"
183,Thousand Lake Mountain,3444.0,11299.0,,"Utah, US"
184,Pointe de la Sana,3436.0,11273.0,,"Vanoise massif, France"
185,Eagles Rest Peak,3431.0,11257.0,,"Teton Range, Wyoming, US"
186,Irazú Volcano,3431.0,11257.0,,Costa Rica
187,Mount Hood,3429.0,11250.0,,"Cascade Range, Oregon, US"
188,Verpeilspitze,3425.0,11237.0,,Austria
189,Deltaform Mountain,3424.0,11234.0,,Canadian Rockies
190,Mount Lefroy,3423.0,11230.0,,Canadian Rockies
191,Pointe de l'Échelle,3422.0,11227.0,,"Vanoise massif, France"
192,Pointe du Bouchet,3420.0,11220.0,,"Vanoise massif, France"
193,Mount Fitzgerald,3418.0,11214.0,,"Ruby Mountains, Nevada, US"
194,Bellecôte,3417.0,11211.0,,"Vanoise massif, France"
195,Crazy Peak,3417.0,11211.0,,"Montana, US"
196,Emi Koussi,3415.0,11204.0,,"Tibesti Mountains, Chad"
197,Piz Linard,3410.0,11190.0,,Switzerland
198,Mount Woolley,3405.0,11171.0,,Canadian Rockies
199,Aneto,3404.0,11168.0,,"Pyrenees, Spain – Highest in Pyrenees"
200,Lone Mountain,3404.0,11168.0,,"Madison Range, Montana, US"
201,Fluchthorn,3399.0,11152.0,,"Silvretta, Austria-Switzerland"
202,Grand Bec,3398.0,11148.0,,"Vanoise massif, France"
203,Rockchuck Peak,3397.0,11145.0,,"Teton Range, Wyoming"
204,Pico Veleta,3396.0,11142.0,,"Sierra Nevada, Spain – Location of the highest road in Europe"
205,Mount Hector,3394.0,11135.0,,Canadian Rockies
206,Piz Platta,3392.0,11129.0,,Swiss Alps
207,Telescope Peak,3392.0,11129.0,,Death Valley
208,Champagne Castle,3377.0,11079.0,,"Drakensberg, South Africa"
209,Cerro Chaltén,3375.0,11073.0,,"Patagonia, Argentina-Chile"
210,Mount Spurr,3374.0,11070.0,,Alaska
211,Pointe du Vallonnet,3372.0,11063.0,,"Vanoise massif, France"
212,Mammoth Mountain,3371.0,11060.0,,California
213,Fründenhorn,3369.0,11053.0,,"Bernese Alps, Switzerland"
214,Pointe Renod,3368.0,11050.0,,"Vanoise massif, France"
215,Traverse Peak,3368.0,11050.0,,"Teton Range, Wyoming"
216,Mount Edith Cavell,3363.0,11033.0,,Canadian Rockies
217,Dôme des Sonnailles,3361.0,11027.0,,"Vanoise massif, France"
218,Valvelspitze,3360.0,11020.0,,Austria
219,Mount Etna,3357.0,11014.0,,"Metropolitan City of Catania, Italy"
220,Mount Agepsta,3357.0,11014.0,,"Gagra Range, Abkhazia, Georgia"
221,Mount Munday,3356.0,11010.0,,"Pacific Ranges, B.C., Canada"
222,Pointe de Claret,3355.0,11007.0,,"Vanoise massif, France"
223,Monte Perdido,3355.0,11007.0,,Pyrenees
224,Electric Peak,3343.0,10968.0,,"Gallatin Range, Montana"
225,Marmolada,3343.0,10968.0,,"Dolomites, Italy – Highest mountain of the Dolomites"
226,Mount Saskatchewan,3342.0,10965.0,,Canadian Rockies
227,Cerro Fábrega,3335.0,10942.0,,"Bocas Del Toro, Panama"
228,Ward Mountain,3333.0,10935.0,,"Nevada, US"
229,Pointe de Méan Martin,3330.0,10930.0,,"Vanoise massif, France"
230,Dôme de Polset,3326.0,10912.0,,"Vanoise massif, France"
231,Cathedral Peak,3326.0,10912.0,,"California, US"
232,Raynolds Peak,3325.0,10909.0,,"Teton Range, Wyoming"
233,Rolling Thunder Mountain,3324.0,10906.0,,"Teton Range, Wyoming"
234,Mount Hampton,3323.0,10902.0,,Antarctica
235,Dôme des Pichères,3319.0,10889.0,,"Vanoise massif, France"
236,Grand Roc,3316.0,10879.0,,"Vanoise massif, France"
237,Giant's Castle,3315.0,10876.0,,"Drakensberg, South Africa"
238,Sunwapta Peak,3315.0,10876.0,,Canadian Rockies
239,Piz Buin,3312.0,10866.0,,"Silvretta, Austria-Switzerland"
240,Mount Ball,3311.0,10863.0,,Canadian Rockies
241,Piz Badile,3308.0,10853.0,,"Bregaglia, Switzerland"
242,Ağ Dağ,3306.0,10846.0,,"Bozgush mountain range, East Azerbaijan, Iran"
243,San Jacinto Peak,3302.0,10833.0,,"California, US"
244,Didi Abuli,3301.0,10830.0,,Georgia
245,Silberhorn,3300.0,10800.0,,"Southern Alps, New Zealand"
246,Bivouac Peak,3299.0,10823.0,,"Teton Range, Wyoming"
247,Mount Wilbur,3298.0,10820.0,,"Fairweather Range, Alaska, US"
248,Monte Argentera,3297.0,10817.0,,"Maritime Alps, Italy"
249,Mount Rose (Nevada),3287.0,10784.0,,"Carson Range, Nevada"
250,Mount Samsari,3285.0,10778.0,,"Abul-Samsari Range, Georgia"
251,Roche Chevrière,3281.0,10764.0,,"Vanoise massif, France"
252,Habicht,3277.0,10751.0,,"Stubai Alps, Austria"
253,Thompson Peak,3277.0,10751.0,,"Idaho, US"
254,Palandöken Mountain,3271.0,10732.0,,Turkey
255,Mount Chephren,3266.0,10715.0,,Canadian Rockies
256,Pointe de Thorens,3266.0,10715.0,,"Vanoise massif, France"
257,Mount Cramer,3266.0,10715.0,,"Idaho, US"
258,Toussidé,3265.0,10712.0,,"Tibesti Mountains, Chad-Libya"
259,Antelao,3264.0,10709.0,,"Dolomites, Italy"
260,Mont Pelve,3261.0,10699.0,,"Vanoise massif, France"
261,Mount Stanley Baldwin,3256.0,10682.0,,"Columbia Mountains, B.C., Canada"
262,Sandia Crest,3255.0,10679.0,,"New Mexico, US"
263,Épaule du Bouchet,3250.0,10660.0,,"Vanoise massif, France"
264,Mount Smythe,3246.0,10650.0,,Canadian Rockies
265,Wildstrubel,3243.0,10640.0,,"Bernese Alps, Switzerland"
266,Williams Peak,3242.0,10636.0,,"Idaho, US"
267,Mount Hope,3239.0,10627.0,,"Highest British mountain, British Antarctic Territory"
268,Titlis,3238.0,10623.0,,"Bernese Alps, Switzerland"
269,Owl Peak,3235.0,10614.0,,"Teton Range, Wyoming"
270,Mount Mackenzie King,3234.0,10610.0,,"Cariboo Mountains, B.C., Canada"
271,Pointe des Buffettes,3233.0,10607.0,,"Vanoise massif, France"
272,Lisenser Spitze,3230.0,10600.0,,"Stubai Alps, Austria"
273,Mount Terror,3230.0,10600.0,,Antarctica
274,Aiguille Rouge,3227.0,10587.0,,"Vanoise massif, France"
275,Monte Civetta,3220.0,10560.0,,"Dolomites, Italy"
276,Symmetry Spire,3219.0,10561.0,,"Teton Range, Wyoming"
277,Akdağ,3213.0,10541.0,,"Taurus Mountains, Turkey"
278,Glacier Peak,3213.0,10541.0,,"Washington, US"
279,Pointe du Dard,3212.0,10538.0,,"Vanoise massif, France"
280,Mount Binalud,3211.0,10535.0,,"Alborz, Iran"
281,Pointe de la Réchasse,3206.0,10518.0,,"Vanoise massif, France"
282,Mount Jefferson,3204.0,10512.0,,"Montana, US"
283,Mount Jefferson,3199.0,10495.0,,"Cascade Range, Oregon, US"
284,Dreiländerspitze,3197.0,10489.0,,"Silvretta, Austria-Switzerland"
285,Mount Kita,3193.0,10476.0,,"Akaishi Mountains, Japan"
286,Mount Hotaka,3190.0,10470.0,,"Hida Mountains, Japan"
287,Mount Cleveland,3190.0,10470.0,,"Montana, US"
288,Ainodake,3189.0,10463.0,,"Akaishi Mountains, Japan"
289,Lassen Peak,3189.0,10463.0,,"California, US"
290,Mount Galatea,3185.0,10449.0,,"Kananaskis Range, Alberta, Canada"
291,Mount Kinyeti,3187.0,10456.0,,"Eastern Equatoria, South Sudan"
292,Rendezvous Mountain,3185.0,10449.0,,"Teton Range, Wyoming, US"
293,Saviers Peak,3182.0,10440.0,,"Idaho, US"
294,Mount Yari,3180.0,10430.0,,"Hida Mountains, Japan"
295,Kendrick Peak,3178.0,10427.0,,"San Francisco Peaks, USA"
296,Kendrick Peak,3178.0,10427.0,,"San Francisco Peaks, USA"
297,Parícutin,3170.0,10400.0,,Mexico
298,Mount Aylmer,3162.0,10374.0,,Canadian Rockies
299,South Sister,3157.0,10358.0,,"Cascade Range, Oregon, US"
300,Stanley Peak,3155.0,10351.0,,"Ball Range, Canadian Rockies"
301,Jøkulkyrkja,3148.0,10328.0,,Antarctica
302,Pica d'Estats,3143.0,10312.0,,"Spanish–French border, Pyrenees"
303,Phan Xi Păng,3143.0,10312.0,,"Sa pa, Vietnam"
304,Mount Arakawa,3141.0,10305.0,,"Akaishi Mountains, Japan"
305,Gray Peak,3140.0,10300.0,,"Yellowstone National Park, Wyoming, US"
306,Mount Heyburn,3139.0,10299.0,,"Idaho, US"
307,Mount Washburn,3122.0,10243.0,,"Yellowstone National Park, Wyoming, US"
308,Mount Collie,3116.0,10223.0,,Canadian Rockies
309,Mount Siple,3110.0,10200.0,,Antarctica
310,Pirchinassi,3110.0,10200.0,,Muzaffarabad Azad Kashmir
311,Mount Redoubt,3108.0,10197.0,,"Alaska, US"
312,Mount Babel,3101.0,10174.0,,"Bow Range, Alberta, Canada"
313,Mount Emei,3099.0,10167.0,,China
314,Pico Duarte,3098.0,10164.0,,Dominican Republic
315,Picacho del Diablo,3096.0,10157.0,,"Baja California, Mexico"
316,Trapper Peak,3096.0,10157.0,,"Montana, US"
317,Storm Mountain,3095.0,10154.0,,Canadian Rockies
318,Mount Blackmore,3094.0,10151.0,,"Montana, US"
319,Mount Stimson,3091.0,10141.0,,"Montana, US"
320,Mol Len,3088.0,10131.0,,"Patkai Range, Nagaland-India/Burma<http://www.peaklist.org/WWlists/ultras/burma.html>"
321,Qurnat as Sawdā’,3088.0,10131.0,,Lebanon
322,Mount Richardson,3086.0,10125.0,,Canadian Rockies
323,Kintla Peak,3079.0,10102.0,,"Livingston Range, Montana, US"
324,Mount Moulton,3078.0,10098.0,,Antarctica
325,Smoky Dome,3077.0,10095.0,,"Idaho, US"
326,North Sister,3074.0,10085.0,,"Cascade Range, Oregon, US"
327,Nat Ma Taung,3070.0,10070.0,,Myanmar
328,Piton des Neiges,3069.0,10069.0,,"Réunion, France"
329,Mount San Antonio,3068.0,10066.0,,"San Gabriel Mountains, California, US"
330,Mount Ontake,3067.0,10062.0,,Japan
331,Mount Jackson,3064.0,10052.0,,"Lewis Range, Montana, US"
332,Middle Sister,3062.0,10046.0,,"Cascade Range, Oregon, US"
333,Mount Wutai,3061.0,10043.0,,"Shanxi, China"
334,Mount Nyamuragira,3058.0,10033.0,,Democratic Republic of the Congo
335,Haleakala,3057.0,10030.0,,"Hawaii, US"
336,Crowfoot Mountain,3055.0,10023.0,,Canadian Rockies
337,Mount Chester,3054.0,10020.0,,Canadian Rockies
338,Mount Siyeh,3052.0,10013.0,,"Montana, US"
339,Mount Merritt,3049.0,10003.0,,"Montana, US"
340,Cerro de Coxóm,3045.0,9990.0,,Guatemala
341,Parseierspitze,3036.0,9961.0,,Austria
342,Mount Senjō,3033.0,9951.0,,"Akaishi Mountains, Japan"
343,Mount Aspiring/Tititea,3033.0,9951.0,,New Zealand
344,Kinnerly Peak,3031.0,9944.0,,"Montana, US"
345,Mount Agung,3031.0,9944.0,,"Bali, Indonesia"
346,Mount McArthur,3021.0,9911.0,,Canadian Rockies
347,Mount Norikura,3026.0,9928.0,,"Hida Mountains, Japan"
348,Tsiteli Khati,3026.0,9928.0,,"Kharuli Range, Georgia"
349,Mount Tate,3015.0,9892.0,,"Hida Mountains, Japan"
350,Cathedral Peak,3004.0,9856.0,,Drakensberg
351,Mount Tahat,3003.0,9852.0,,Algeria – Highest
352,Sapitwa,3002.0,9849.0,,"Mulanje Massif, Malawi"
353,Ben Macdhui,3001.0,9846.0,,"Eastern Cape, South Africa"
354,The Fortress,3000.0,9800.0,,Canadian Rockies
0,Tre Cime di Lavaredo,2999.0,9839.0,,"Province of Belluno, Italy"
1,Pizzo Centrale,2999.0,9839.0,,Switzerland
2,Cascade Mountain,2998.0,9836.0,,"Vermilion Range, Canadian Rockies, Canada"
3,Copahue,2997.0,9833.0,,"Andes, Argentina/Chile"
4,Mount Girouard,2995.0,9826.0,,"Fairholme Range, Canadian Rockies, Canada"
5,Mount Iso,2994.0,9823.0,,"near Mao, Highest in Manipur, India"
6,Pico da Neblina,2994.0,9823.0,,"Serra do Imeri, Amazonas, Brazil – Highest"
7,Mount Whyte,2983.0,9787.0,,"Bow Range, Canadian Rockies, Canada"
8,Miranjani,2980.0,9780.0,,Pakistan
9,Forellen Peak,2979.0,9774.0,,"Teton Range, Wyoming, US"
10,Mount Andrus,2978.0,9770.0,,"Ames Range, Antarctica"
11,Mount Niblock,2976.0,9764.0,,"Bow Range, Canadian Rockies, Canada"
12,Pico 31 de Março,2973.0,9754.0,,"Serra do Imeri, Amazonas, Brazil"
13,Keele Peak,2972.0,9751.0,,"Mackenzie Mountains, Yukon, Canada"
14,Mount Odin,2970.0,9740.0,,"Monashee Mountains, B.C., Canada"
15,Schilthorn,2970.0,9740.0,,"Bernese Alps, Switzerland"
16,Mount Tallac,2968.0,9738.0,,"Sierra Nevada, California, US"
17,Steens Mountain,2968.0,9738.0,,Isolated peak in Southeastern Oregon
18,Mount Inglismaldie,2964.0,9724.0,,"Fairholme Range, Canadian Rockies, Canada"
19,Mount Ramelau,2963.0,9721.0,,Highest in East Timor
20,Zugspitze,2962.0,9718.0,,Germany – Highest
21,Slide Mountain (Nevada),2957.0,9701.0,,"Carson Range, Nevada"
22,Little Alberta,2956.0,9698.0,,"Sir Winston Churchill Range, Canadian Rockies, Canada"
23,Mount Arfak,2955.0,9695.0,,"Arfak Mountains, West Papua, Indonesia"
24,Iron Mountain,2955.0,9695.0,,"Soldier Mountains, Idaho, US"
25,Apo,2954.0,9692.0,,Philippines – Highest
26,Fossil Mountain,2946.0,9665.0,,"Banff NP, Alberta, Canada"
27,Coma Pedrosa,2942.0,9652.0,,"Pyrenees, Andorra – Highest"
28,Going to the Sun Mountain,2939.0,9642.0,,"Lewis Range, Montana, US"
29,Fishers Peak,2936.0,9633.0,,"Raton Mesas, Colorado-New Mexico, US"
30,Pilot Mountain,2935.0,9629.0,,"Massive Range, Canadian Rockies, Canada"
31,Uri Rotstock,2928.0,9606.0,,Switzerland
32,Musala,2925.0,9596.0,,"Rila Mountain, Bulgaria – Highest"
33,Mount Pulag,2926.0,9600.0,,Philippines
34,Mount Olympus,2917.0,9570.0,,"Thessaly/Macedonia, Greece – Highest"
35,Vihren,2914.0,9560.0,,"Pirin Mountain, Bulgaria"
36,Mount Gould,2912.0,9554.0,,"Montana, US"
37,Corno Grande,2912.0,9554.0,,"Abruzzo, Italy"
38,Mount Blakiston,2910.0,9550.0,,"Flathead Range, Canadian Rockies, Canada"
39,Puigmal,2909.0,9544.0,,"Spanish–French border, Pyrenees"
40,Kutelo,2908.0,9541.0,,"Pirin Mountain, Bulgaria"
41,Chutine Peak,2903.0,9524.0,,"Coast Range, British Columbia, Canada"
42,Malka Musala,2902.0,9521.0,,"Rila Mountain, Bulgaria"
43,Rising Wolf Mountain,2900.0,9500.0,,"Lewis Range, Montana, US"
44,Bonanza Peak,2899.0,9511.0,,"Cascade Range, Washington, US"
45,Mount McLoughlin,2894.0,9495.0,,"Mount McLoughlin, Oregon, US"
46,Pic de Sanfonts,2894.0,9495.0,,"Pyrenees, Andorra"
47,Pico da Bandeira,2892.0,9488.0,,"Serra do Caparaó, Minas Gerais/Espírito Santo, Brazil"
48,Collarada,2886.0,9469.0,,"Pyrenees, Spain"
49,Banski Suhodol,2884.0,9462.0,,"Pirin Mountain, Bulgaria"
50,Boardman Peak,2882.0,9455.0,,"Soldier Mountains, Idaho, US"
51,Mount Wrightson,2882.0,9455.0,,"Santa Rita Mountains, Arizona, US"
52,Lembert Dome,2880.0,9450.0,,"California, US"
53,Sacajawea Peak,2876.0,9436.0,,"Wallowa Mountains, Oregon, US"
54,Mount Stuart,2869.0,9413.0,,"Cascades, Washington, US"
55,Mount Fisht,2867.0,9406.0,,"Adygea, Russia"
56,Mount Silverthrone,2865.0,9400.0,,"British Columbia, Canada"
57,Mount Baden-Powell,2864.75,9398.8,,"San Gabriel Mountain, California, US"
58,Triglav,2864.0,9396.0,,Slovenia – Highest
59,Mount Saint Nicholas,2858.0,9377.0,,"Montana, US"
60,Irechek,2852.0,9357.0,,"Rila Mountain, Bulgaria"
61,Polezhan,2851.0,9354.0,,"Pirin Mountain, Bulgaria"
62,Mount Tabayoc,2842.0,9324.0,,"Cordillera Range, Benguet, Philippines"
63,Mount Wilbur,2841.0,9321.0,,"Montana, US"
64,Pico do Fogo,2829.0,9281.0,,Cape Verde – Highest
65,Kamenitsa,2822.0,9259.0,,"Pirin Mountain, Bulgaria"
66,Mount Fernow,2819.0,9249.0,,"Washington, US"
67,Mount Hermon,2814.0,9232.0,,Syria and Lebanon; a subpeak on its southern slopes is within the Israeli-occupied Golan Heights region
68,Mount Deakin,2810.0,9220.0,,Antarctica
69,Mount Cory,2802.0,9193.0,,"Alberta, Canada"
70,Mount Thielsen,2799.0,9183.0,,"Cascades, Oregon, US"
71,Pedra da Mina,2798.0,9180.0,,"Serra da Mantiqueira, Minas Gerais/São Paulo, Brazil"
72,Mount Ruapehu,2797.0,9177.0,,"Tongariro National Park, North Island, New Zealand – Highest in the North Island"
73,Copper Mountain,2795.0,9170.0,,"Alberta, Canada"
74,Mount Lemmon,2795.0,9170.0,,"Santa Catalina Mountains, Arizona, US"
75,Maiella,2793.0,9163.0,,"Abruzzo, Italy"
76,Pico das Agulhas Negras,2792.0,9160.0,,"Serra do Itatiaia, Minas Gerais/Rio de Janeiro, Brazil"
77,Deno,2790.0,9150.0,,"Rila Mountain, Bulgaria"
78,Hayes Volcano,2788.0,9147.0,,"Alaska, US"
79,Mount Edziza,2787.0,9144.0,,"British Columbia, Canada"
80,Canigou,2784.0,9134.0,,"Pyrenees, France"
81,Mount Weaver,2780.0,9120.0,,Antarctica
82,Buckner Mountain,2778.0,9114.0,,"Washington, US"
83,Mount Longonot,2776.0,9108.0,,"Great Rift Valley, Kenya"
84,Seven Fingered Jack,2774.0,9101.0,,"Washington, US"
85,Mount Nirvana,2773.0,9098.0,,"Northwest Territories, Canada"
86,Chief Mountain,2768.0,9081.0,,"Montana, US"
87,Lincoln Peak,2768.0,9081.0,,"Washington, US"
88,Castle Mountain,2766.0,9075.0,,"Canadian Rockies, Canada"
89,Pyramid Mountain,2766.0,9075.0,,"Canadian Rockies, Canada"
90,Pico Naiguata (Avila),2765.0,9072.0,,"Caracas, Venezuela"
91,Mount Bachelor,2764.0,9068.0,,"Formerly Bachelor Butte, Cascade Mountains, Oregon, US"
92,Mount Korab,2764.0,9068.0,,North Macedonia & Albania – Highest
93,Yalovarnika,2763.0,9065.0,,"Pirin Mountain, Bulgaria"
94,Gazey,2761.0,9058.0,,"Pirin Mountain, Bulgaria"
95,Mount Sir James MacBrien,2759.0,9052.0,,Canada
96,Kaymakchal,2753.0,9032.0,,"Pirin Mountain, Bulgaria"
97,Mount Olympus,2751.0,9026.0,,"Utah, US"
98,Todorka,2746.0,9009.0,,"Pirin Mountain, Bulgaria"
99,Mawson Peak,2745.0,9006.0,,Highest in Australian Antarctic Territory
100,Fairview Mountain,2744.0,9003.0,,"Bow Range, Canadian Rockies, Canada"
101,Mount Baekdu,2744.0,9003.0,,North Korea/China Highest in North Korea
102,Škrlatica,2740.0,8990.0,,"Julian Alps, Slovenia"
103,Monte Roraima,2739.0,8986.0,,"Serra de Pacaraima, Roraima, Brazil"
104,Heavens Peak,2739.0,8986.0,,"Montana, US"
105,Mount Spickard,2737.0,8980.0,,"North Cascades, US"
106,Banderishki Chukar,2732.0,8963.0,,"Pirin Mountain, Bulgaria"
107,Mount Melbourne,2732.0,8963.0,,Antarctica
108,Cerro El Pital,2730.0,8960.0,,El Salvador – Highest
109,Mount Redoubt,2730.0,8960.0,,"Washington, US"
110,Dzhengal,2730.0,8960.0,,"Pirin Mountain, Bulgaria"
111,Malyovitsa,2729.0,8953.0,,"Rila Mountain, Bulgaria"
112,Pizzo di Claro,2727.0,8947.0,,"Ticino, Switzerland"
113,Mount Morning,2723.0,8934.0,,Antarctica
114,Phu Xai Lai Leng,2720.0,8920.0,,Laos
115,Serles,2718.0,8917.0,,"Stubai Alps, Austria"
116,Watzmann,2713.0,8901.0,,"Bavarian Alps, Germany"
117,Boston Peak,2711.0,8894.0,,"Washington, US"
118,Schiahorn,2709.0,8888.0,,Switzerland
119,Grotto Mountain,2706.0,8878.0,,"Canadian Rockies, Canada"
120,Kennedy Peak (Myanmar),2703.0,8868.0,,Myanmar
121,Mount Haku,2702.0,8865.0,,"Ryōhaku Mountains, Japan"
122,Eldorado Peak,2701.0,8862.0,,"Washington, US"
123,Anaimudi,2695.0,8842.0,,"Kerala, India – Highest in Western Ghats, India"
124,Maja Jezerce,2694.0,8839.0,,"Highest in Dinaric Alps, Albania"
125,Half Dome,2693.0,8835.0,,"Sierra Nevada, California, US"
126,Mount Louis,2682.0,8799.0,,"Alberta, Canada"
127,Mount Discovery,2681.0,8796.0,,Antarctica
128,Pic de la Selle,2680.0,8790.0,,Haiti
129,Mount Garibaldi,2678.0,8786.0,,"British Columbia, Canada"
130,Bashliyski Chukar,2670.0,8760.0,,"Pirin Mountain, Bulgaria"
131,Pedra do Sino,2670.0,8760.0,,"Serra dos Órgãos, Rio de Janeiro, Brazil"
132,Guadalupe Peak,2667.0,8750.0,,"Guadalupe Mountains, Texas – Highest in Texas"
133,Gjeravica,2656.0,8714.0,,"Accursed Mountains, Kosovo – Highest in Kosovo"
134,Großer Krottenkopf,2656.0,8714.0,,"Allgäu Alps, Tyrol, Austria"
135,Pic del Port Vell,2655.0,8711.0,,"Pyrenees, Andorra"
136,Gerlachov Peak,2655.0,8711.0,,"High Tatras, Slovakia"
137,Mount Michelson,2652.0,8701.0,,"Chugach Mountains, Alaska, US"
138,Torre Cerredo,2650.0,8690.0,,"Picos de Europa, Spain – Highest in Picos de Europa"
139,Mount St. Piran,2649.0,8691.0,,"Bow Range, Alberta, Canada"
140,Mount Meager,2645.0,8678.0,,"British Columbia, Canada"
141,Mount Trus Madi,2642.0,8668.0,,"Trus Madi Range, Sabah, Malaysia – No. 2 in Malaysia"
142,Meesapulimala,2640.0,8660.0,,"Tamil Nadu/Kerala, India"
143,Doddabetta,2637.0,8652.0,,"Tamil Nadu, India"
144,Piton de la Fournaise,2631.0,8632.0,,Réunion
145,Mount Crean,2630.0,8630.0,,Victoria Land
146,Cardinal Peak,2618.0,8589.0,,"Washington, US"
147,Barbeau Peak,2616.0,8583.0,,"Nunavut, Canada – Highest in Nunavut"
148,Monte Legnone,2609.0,8560.0,,"Province of Lecco, Lombardy, Italy"
149,Pelister Peak,2601.0,8533.0,,North Macedonia
150,Mount Abao,2596.0,8517.0,,Philippines
151,Pico Almanzor,2592.0,8504.0,,Spain
152,Mount Currie,2591.0,8501.0,,"BC, Canada"
153,Pizzo Molare,2585.0,8481.0,,"Ticino, Switzerland"
154,Mount Tavkvetili,2583.0,8474.0,,Georgia
155,Mount Tambuyukon,2579.0,8461.0,,"Sabah, Malaysia"
156,Argonaut Peak,2576.0,8451.0,,"Washington, US"
157,Doi Inthanon,2565.0,8415.0,,Thailand – Highest in Thailand
158,Pic dels Aspres,2562.0,8406.0,,"Pyrenees, Andorra"
159,Ledyanaya,2562.0,8406.0,,Russia – Highest of the Koryak Mountains
160,Aguja Saint Exupery,2558.0,8392.0,,Argentina
161,Mount St. Helens,2550.0,8370.0,,"Washington, US"
162,Big Hatchet Peak,2547.0,8356.0,,"New Mexico, US"
163,Moldoveanu Peak,2544.0,8346.0,,Romania
164,Uludağ,2543.0,8343.0,,Turkey
165,Mount Vineuo,2536.0,8320.0,,Papua New Guinea
166,Negoiu Peak,2535.0,8317.0,,Romania
167,Vistea Mare,2527.0,8291.0,,Romania
168,Pidurutalagala,2524.0,8281.0,,Sri Lanka
169,Mount Norquay,2522.0,8274.0,,"Canadian Rockies, Canada"
170,Hualalai,2521.0,8271.0,,"Hawaii, US"
171,Mount Yesenin,2520.0,8270.0,,Antarctica
172,Parangu Mare,2519.0,8264.0,,Romania
